Estimulo;C1;C5
2;340613.569133,24455429.418501,32.55565,36.053403,340613.61745,24455440.40023,32.555656,36.053415;842237.358265,38105918.34487,29.877107,42.661016,842237.509261,38105941.39946,29.877115,42.661034
1;340614.450092,24455477.918152,32.555656,36.053438,340614.462777,24455487.957041,32.555656,36.053445;842237.848151,38105979.772387,29.87712,42.661056,842237.873744,38105998.385788,29.877121,42.661067
0;340615.248877,24455520.227554,32.555659,36.053473,340615.248877,24455520.227554,32.555659,36.053473;842239.167551,38106049.942251,29.877128,42.661101,842239.167551,38106049.942251,29.877128,42.661101
1;340616.024172,24455540.335794,32.555658,36.053489,340616.082372,24455557.664635,32.55566,36.053503;842239.503529,38106076.12462,29.877133,42.661122,842239.708639,38106102.267155,29.877138,42.661141
0;340622.062903,24455771.247215,32.555661,36.053665,340622.062903,24455771.247215,32.555661,36.053665;842248.276269,38106432.225612,29.877172,42.661353,842248.276269,38106432.225612,29.877172,42.661353
1;340623.852474,24455912.927402,32.555682,36.053782,340624.057123,24455947.417031,32.555683,36.053806;842252.130555,38106655.851997,29.877217,42.661513,842252.554569,38106713.068233,29.877222,42.661547
0;340626.404218,24456029.862988,32.555676,36.053862,340626.404218,24456029.862988,32.555676,36.053862;842254.300226,38106816.461239,29.877233,42.661614,842254.300226,38106816.461239,29.877233,42.661614
1;340626.66581,24456053.727794,32.55568,36.053883,340627.017491,24456077.786059,32.555687,36.053906;842254.919809,38106858.667941,29.87724,42.661644,842255.888861,38106897.448643,29.877253,42.661675
2;340627.168801,24456096.696744,32.55569,36.053921,340629.039117,24456102.592364,32.55569,36.053929;842256.615308,38106918.790305,29.877257,42.661692,842258.987769,38106932.483605,29.877259,42.661705
2;340629.679486,24456123.92734,32.555694,36.053949,340629.901462,24456140.169658,32.555694,36.053961;842259.379675,38106959.917955,29.877266,42.661729,842259.930458,38106982.660318,29.877269,42.661744
0;340630.094787,24456163.094997,32.555697,36.053979,340630.094787,24456163.094997,32.555697,36.053979;842260.196284,38107014.550053,29.877275,42.661765,842260.196284,38107014.550053,29.877275,42.661765
2;340630.859374,24456188.830204,32.555701,36.054003,340631.238307,24456213.857998,32.555703,36.054022;842261.427695,38107062.018664,29.877285,42.661803,842261.697663,38107090.846705,29.877291,42.661823
1;340631.471886,24456234.529633,32.555707,36.054041,340633.236432,24456248.64851,32.555711,36.054059;842261.793271,38107128.831382,29.877298,42.661851,842263.220768,38107148.608707,29.877307,42.661872
1;340633.921207,24456322.770831,32.555708,36.054113,340635.252992,24456344.076518,32.555709,36.05413;842264.674293,38107290.005314,29.877308,42.661952,842265.642135,38107327.720935,29.877314,42.661978
0;340636.217112,24456368.14325,32.55571,36.054147,340636.217112,24456368.14325,32.55571,36.054147;842266.608953,38107354.665665,29.87732,42.661998,842266.608953,38107354.665665,29.87732,42.661998
2;340706.694645,24458268.014599,32.555714,36.055583,340708.693741,24458337.480837,32.555716,36.055636;842347.588663,38110116.373528,29.877603,42.663808,842349.785523,38110225.996388,29.877618,42.663881
2;340709.597198,24458357.040582,32.555722,36.055657,340710.483137,24458370.587397,32.555726,36.055672;842349.939108,38110258.27262,29.87763,42.663909,842350.917019,38110284.071628,29.877637,42.663931
0;340710.598227,24458384.132922,32.555726,36.055681,340710.598227,24458384.132922,32.555726,36.055681;842351.14447,38110304.045153,29.877639,42.663943,842351.14447,38110304.045153,29.877639,42.663943
2;340710.782629,24458403.992946,32.555731,36.055699,340711.139059,24458454.778053,32.555741,36.055743;842351.391422,38110340.449578,29.877648,42.66397,842352.591186,38110374.530022,29.877668,42.66401
0;340717.757347,24458684.155776,32.555763,36.055923,340717.757347,24458684.155776,32.555763,36.055923;842358.544361,38110738.639862,29.877736,42.664257,842358.544361,38110738.639862,29.877736,42.664257
2;340721.504942,24458770.999848,32.555772,36.055997,340723.051422,24458784.196073,32.555772,36.056008;842362.612679,38110881.838434,29.877758,42.664357,842364.615145,38110899.238285,29.87776,42.664371
1;340723.445995,24458797.321423,32.555775,36.056022,340724.706162,24458824.245514,32.555773,36.056044;842364.940327,38110933.362035,29.877764,42.664396,842365.434935,38110956.401734,29.877771,42.664417
0;340726.13268,24458889.895515,32.555778,36.0561,340726.13268,24458889.895515,32.555778,36.0561;842368.130216,38111081.829287,29.877784,42.664504,842368.130216,38111081.829287,29.877784,42.664504
2;340726.854985,24458970.894536,32.555794,36.056171,340727.216713,24458990.939441,32.555793,36.056184;842369.157027,38111227.198993,29.877809,42.664603,842369.906081,38111258.444338,29.87781,42.664621
2;340730.42582,24459071.365394,32.555797,36.056252,340731.18377,24459099.821447,32.555796,36.056272;842374.455592,38111396.489223,29.877825,42.664713,842375.658729,38111439.425174,29.877828,42.66474
0;340731.341229,24459127.815981,32.555794,36.056288,340731.341229,24459127.815981,32.555794,36.056288;842375.83793,38111461.290274,29.877831,42.664756,842375.83793,38111461.290274,29.877831,42.664756
2;340731.533009,24459147.760485,32.5558,36.056309,340731.952539,24459174.312222,32.555798,36.056326;842375.928632,38111498.747279,29.877844,42.664789,842376.133374,38111553.531075,29.877841,42.664814
2;340733.584809,24459242.673867,32.5558,36.056376,340733.999831,24459269.959893,32.555804,36.056398;842378.127565,38111675.124005,29.877855,42.66489,842379.220205,38111707.960544,29.877865,42.664917
2;340735.400453,24459320.15335,32.5558,36.056427,340735.973186,24459350.566359,32.555801,36.056449;842380.21752,38111740.746368,29.877872,42.664941,842380.553126,38111799.728354,29.877879,42.664976
