Estimulo;C2;C4
1;1058643.826718,38406525.74705,28.61289,41.728513,1058644.752842,38406761.324222,28.613004,41.728732;819649.768736,32710702.093561,30.236897,39.790116,819649.976601,32710747.426631,30.236927,39.790166
1;1058644.937195,38406798.615846,28.613017,41.728763,1058644.997585,38406840.308741,28.613028,41.728793;819650.252664,32710759.506196,30.23693,39.790176,819650.303042,32710773.080485,30.236932,39.790187
0;1058645.079373,38406855.90908,28.613041,41.728816,1058645.079373,38406855.90908,28.613041,41.728816;819650.399287,32710778.713437,30.236936,39.790193,819650.399287,32710778.713437,30.236936,39.790193
2;1058645.148131,38406870.954644,28.613046,41.728829,1058645.247515,38406901.546211,28.613055,41.728853;819650.431343,32710783.623325,30.236936,39.790197,819650.664417,32710794.257058,30.236939,39.790205
1;1058647.011916,38406949.424017,28.613064,41.728885,1058648.66986,38406973.031226,28.61308,41.728916;819650.898655,32710804.529712,30.236942,39.790214,819652.169422,32710812.404299,30.236946,39.790224
1;1058649.029113,38406980.966509,28.613083,41.728922,1058649.691905,38407011.947871,28.613093,41.728946;819652.392125,32710815.488179,30.236947,39.790227,819652.791474,32710825.562375,30.23695,39.790235
1;1058650.131958,38407040.33266,28.613102,41.728967,1058683.52234,38407624.624822,28.613039,41.729236;819652.892662,32710833.929551,30.236952,39.790241,819659.153581,32710958.305,30.236935,39.790303
2;1058708.634109,38408449.11009,28.613387,41.729938,1058708.77559,38408476.909189,28.6134,41.729965;819664.103287,32711128.212518,30.237023,39.790469,819664.171667,32711136.793203,30.237027,39.790478
0;1058724.142624,38409038.397324,28.613647,41.730499,1058724.142624,38409038.397324,28.613647,41.730499;819666.955079,32711257.598551,30.237091,39.790607,819666.955079,32711257.598551,30.237091,39.790607
2;1058732.235298,38409177.08747,28.613635,41.73057,1058735.436908,38409313.859065,28.613693,41.730691;819668.65125,32711282.14038,30.237089,39.790623,819669.781282,32711319.174804,30.237102,39.790656
1;1058735.798244,38409338.500089,28.613707,41.730717,1058737.53661,38409386.482776,28.613722,41.730753;819670.000573,32711324.196278,30.237107,39.790663,819670.760471,32711335.293176,30.237111,39.790672
1;1058737.992196,38409420.076671,28.613735,41.730781,1058738.1695,38409451.04797,28.613746,41.730806;819670.845918,32711345.340386,30.237115,39.790681,819670.981837,32711353.827412,30.237118,39.790689
2;1058738.906669,38409460.417353,28.613746,41.730811,1058739.099715,38409483.275694,28.613755,41.730831;819671.52886,32711358.118817,30.237117,39.790691,819671.801244,32711366.209959,30.237119,39.790698
0;1058739.823298,38409523.799717,28.613778,41.730873,1058739.823298,38409523.799717,28.613778,41.730873;819672.122338,32711382.331339,30.237124,39.790712,819672.122338,32711382.331339,30.237124,39.790712
1;1058741.052019,38409565.272242,28.613786,41.730901,1058741.052019,38409565.272242,28.613786,41.730901;819672.900847,32711392.44913,30.237126,39.79072,819672.900847,32711392.44913,30.237126,39.79072
2;1679389.32936,37781020.472082,28.026579,41.218965,1679389.463656,37781085.169209,28.026596,41.21901;1095126.906605,34521884.038019,29.605174,40.518161,1095127.109628,34521899.390069,29.605178,40.518173
0;1679435.670533,37782330.843735,28.027097,41.220145,1679435.670533,37782330.843735,28.027097,41.220145;1095135.124241,34522143.632826,29.605299,40.518427,1095135.124241,34522143.632826,29.605299,40.518427
2;1679442.306272,37782360.649125,28.027099,41.220167,1679457.536509,37783674.991135,28.027151,41.220952;1095136.497332,34522150.704617,29.605299,40.518432,1095140.062271,34522416.394209,29.605311,40.518603
1;1679482.642866,37783777.67027,28.027151,41.221026,1679509.173693,37784433.205763,28.027159,41.221383;1095144.312258,34522440.49136,29.605312,40.518621,1095148.303432,34522591.343966,29.605312,40.518706
1;1679509.513118,37784449.620747,28.027163,41.221395,1679511.848947,37784528.869154,28.027254,41.221524;1095148.375674,34522599.932863,29.605313,40.518711,1095148.662294,34522617.5448,29.605334,40.518742
1;1679512.524488,37784593.411636,28.027281,41.221577,1679512.934834,37784666.443623,28.027319,41.221645;1095149.033334,34522635.727799,29.60534,40.518757,1095149.16883,34522654.184602,29.605349,40.518775
0;1679514.909171,37784678.987715,28.027324,41.221656,1679514.909171,37784678.987715,28.027324,41.221656;1095150.157931,34522658.404992,29.60535,40.518779,1095150.157931,34522658.404992,29.60535,40.518779
1;1679515.156746,37784700.214299,28.027344,41.221684,1679515.77109,37784753.699601,28.02736,41.221723;1095150.301569,34522665.404043,29.605354,40.518786,1095150.752642,34522678.232171,29.605358,40.518797
2;1679516.290039,37784784.56912,28.027387,41.221765,1679520.842077,37784814.692177,28.027425,41.221813;1095151.01326,34522685.102015,29.605365,40.518808,1095153.078711,34522694.274253,29.605374,40.518822
2;1679521.196798,37784820.325702,28.02743,41.221819,1679633.509322,37786789.318355,28.028342,41.2236;1095153.141113,34522699.021302,29.605375,40.518825,1095177.029078,34523102.00179,29.605592,40.519231
1;1679653.381559,37786883.832061,28.028347,41.223673,1679660.130379,37787027.689209,28.028534,41.223934;1095180.894932,34523137.50492,29.605592,40.519253,1095182.264114,34523165.041122,29.605638,40.519316
0;1679675.486329,37787120.869753,28.028518,41.223985,1679675.486329,37787120.869753,28.028518,41.223985;1095184.357419,34523184.550774,29.605635,40.519328,1095184.357419,34523184.550774,29.605635,40.519328
2;1679675.742113,37787127.313761,28.028535,41.224007,1679676.368121,37787172.920302,28.028543,41.224037;1095184.503298,34523186.957015,29.605639,40.519334,1095184.840834,34523204.350482,29.60564,40.519344
2;1679678.010744,37787213.215697,28.028551,41.224064,1679743.964426,37789579.44052,28.029589,41.226198;1095185.434394,34523215.295167,29.605643,40.519352,1095201.030701,34523688.299342,29.605896,40.519843
1;1679745.783657,37789665.717778,28.029597,41.226249,1679752.179523,37789965.382521,28.029773,41.226552;1095201.410576,34523704.265299,29.605899,40.519854,1095202.601264,34523765.667269,29.605939,40.519923
2;1679753.373422,37789994.273741,28.029784,41.226576,1679832.386533,37791113.852206,28.030633,41.22795;1095203.028218,34523773.568282,29.605942,40.51993,1095219.43886,34524017.066258,29.606129,40.520248
1;1679901.987475,37791382.119763,28.030596,41.228108,1679903.081131,37791414.818197,28.030617,41.228146;1095234.403727,34524072.471211,29.606117,40.520281,1095235.067877,34524083.137749,29.606121,40.520292
0;1679927.824515,37791529.398616,28.030604,41.228211,1679927.824515,37791529.398616,28.030604,41.228211;1095241.11741,34524110.025074,29.606118,40.520308,1095241.11741,34524110.025074,29.606118,40.520308
1;1679928.652812,37791558.845228,28.030613,41.228234,1679930.285323,37791629.651842,28.030659,41.228312;1095241.612289,34524117.791271,29.606121,40.520315,1095242.716784,34524135.610531,29.606132,40.520335
1;1679930.957894,37791640.28661,28.030665,41.228322,1679947.226795,37791905.720333,28.030792,41.228575;1095243.093731,34524140.504656,29.606133,40.520338,1095244.37985,34524205.131802,29.606162,40.5204
