Start_time;End_time;C1;C2;C3;C4;C5
2025-05-15 15:42:00.202245;2025-05-15 15:42:01.263051;340735.400453,24459320.15335,32.5558,36.056427;831196.851818,35189306.414001,29.795107,40.856672;412059.714446,24499517.677226,33.008728,36.51066;934996.93624,33582727.860311,30.685951,40.857548;842380.21752,38111740.746368,29.877872,42.664941
2025-05-15 15:42:01.264049;2025-05-15 15:42:02.319640;340735.973186,24459350.566359,32.555801,36.056449;831197.345778,35189489.794063,29.795124,40.856783;412060.471928,24499760.770006,33.008722,36.510819;934997.787263,33583013.056723,30.685969,40.857718;842380.553126,38111799.728354,29.877879,42.664976
2025-05-15 15:42:02.320639;2025-05-15 15:42:03.377959;340737.206739,24459361.363775,32.555802,36.056459;831199.305424,35189522.31329,29.795135,40.856813;412062.524062,24499803.927589,33.00873,36.510861;934999.79056,33583065.062979,30.685982,40.857764;842381.713226,38111814.922655,29.877882,42.664988
2025-05-15 15:42:03.377959;2025-05-15 15:42:04.437183;340737.330147,24459401.349522,32.555808,36.056489;831200.407674,35189727.946291,29.795178,40.856953;412064.601275,24500074.705881,33.008751,36.511057;935002.00234,33583363.905564,30.686036,40.857969;842382.542073,38111883.814,29.877894,42.665033
2025-05-15 15:42:04.438742;2025-05-15 15:42:05.507106;340737.780217,24459456.401376,32.555811,36.056531;831201.01999,35189924.912743,29.795227,40.857107;412065.368419,24500329.965505,33.008778,36.51127;935003.064686,33583651.996574,30.686098,40.858196;842383.166504,38111969.229811,29.877906,42.665089
2025-05-15 15:42:05.508106;2025-05-15 15:42:06.564804;340737.93539,24459475.125825,32.555815,36.05655;831201.813013,35190028.518621,29.795253,40.857196;412066.650868,24500468.733693,33.00879,36.511395;935004.627821,33583816.543211,30.686129,40.858333;842383.559694,38112004.027086,29.877914,42.665117
2025-05-15 15:42:06.564804;2025-05-15 15:42:07.622547;340738.491498,24459489.242694,32.555817,36.056564;831203.399812,35190112.816143,29.795269,40.857262;412069.00114,24500578.62616,33.008792,36.511486;935006.903709,33583944.521389,30.686146,40.858432;842384.104133,38112029.520583,29.877919,42.665137
2025-05-15 15:42:07.623544;2025-05-15 15:42:08.668431;340738.899018,24459511.201848,32.55582,36.056583;831204.901693,35190206.982709,29.795292,40.857337;412071.212041,24500701.008695,33.008806,36.51159;935009.27907,33584089.087279,30.686176,40.858545;842384.435386,38112063.707051,29.877925,42.665162
2025-05-15 15:42:08.669428;2025-05-15 15:42:09.732409;340739.085627,24459526.989762,32.555825,36.056598;831206.023578,35190294.540308,29.795319,40.857411;412072.902658,24500817.229255,33.008825,36.511695;935011.210755,33584225.601936,30.686209,40.858658;842384.963817,38112091.144771,29.877933,42.665185
2025-05-15 15:42:09.733414;2025-05-15 15:42:10.790354;340740.315834,24459547.943779,32.555831,36.056621;831206.77736,35190405.154159,29.795357,40.857507;412073.666907,24500959.08229,33.008851,36.511824;935012.087794,33584396.270459,30.686254,40.858799;842385.555572,38112130.042729,29.877942,42.665215
2025-05-15 15:42:10.791353;2025-05-15 15:42:11.851148;340740.646052,24459558.549451,32.555837,36.056636;831207.371908,35190465.024881,29.79539,40.857582;412074.67342,24501042.858188,33.00888,36.511935;935013.029353,33584501.080203,30.686299,40.858923;842385.831669,38112151.923455,29.877953,42.66524
2025-05-15 15:42:11.852172;2025-05-15 15:42:12.932493;340740.791835,24459567.791084,32.555838,36.056643;831207.759017,35190517.615706,29.795395,40.857615;412075.077135,24501115.11222,33.008876,36.511982;935013.580341,33584589.691107,30.686302,40.858976;842385.959578,38112171.288075,29.877954,42.665251
2025-05-15 15:42:12.933490;2025-05-15 15:42:13.968833;340741.180124,24459580.209302,32.555843,36.056658;831208.714305,35190577.034093,29.795428,40.857684;412076.506352,24501196.382288,33.008907,36.512078;935014.969374,33584679.025564,30.686348,40.859081;842386.382523,38112192.344448,29.877963,42.665272
2025-05-15 15:42:13.969831;2025-05-15 15:42:15.039314;340741.696853,24459626.003664,32.555848,36.056694;831211.024545,35190762.472781,29.79547,40.857821;412080.158443,24501431.702064,33.00893,36.512266;935018.299616,33584959.077607,30.6864,40.859286;842387.733913,38112258.284505,29.877974,42.665318
2025-05-15 15:42:15.040309;2025-05-15 15:42:16.106997;340742.088214,24459658.158107,32.555852,36.05672;831211.9542,35190924.371942,29.7955,40.857938;412081.628451,24501646.214492,33.008939,36.512432;935019.519156,33585213.134484,30.686437,40.859469;842387.999987,38112318.136414,29.877983,42.665357
2025-05-15 15:42:16.107995;2025-05-15 15:42:17.156278;340742.189908,24459669.697484,32.555852,36.056729;831212.224213,35190976.815003,29.79551,40.857979;412081.907721,24501712.623283,33.008945,36.51249;935019.979575,33585294.821921,30.68645,40.859533;842388.068632,38112334.414326,29.877986,42.665369
2025-05-15 15:42:17.157276;2025-05-15 15:42:18.220009;340744.305249,24459693.753799,32.555852,36.056749;831216.789743,35191047.438254,29.795528,40.858042;412086.963638,24501800.124951,33.008955,36.512574;935024.904183,33585396.173969,30.686474,40.859625;842390.071814,38112363.28589,29.877991,42.665392
2025-05-15 15:42:18.221305;2025-05-15 15:42:19.272877;340744.530513,24459727.331838,32.555851,36.056772;831218.203678,35191192.271528,29.795542,40.858139;412089.408875,24501982.96781,33.008947,36.512707;935027.667776,33585609.849221,30.686487,40.859767;842390.70616,38112410.105578,29.877994,42.66542
2025-05-15 15:42:19.272877;2025-05-15 15:42:20.334855;340746.542105,24459775.320232,32.555848,36.056807;831223.842077,35191486.086217,29.795539,40.858303;412096.54398,24502382.886062,33.008889,36.512947;935036.123139,33586101.651533,30.686464,40.860032;842393.477995,38112506.576963,29.877992,42.665471
2025-05-15 15:42:20.334855;2025-05-15 15:42:21.400618;340746.657772,24459801.155165,32.555849,36.056823;831224.600757,35191620.941369,29.795555,40.858383;412097.379504,24502561.913491,33.008889,36.513062;935037.26219,33586308.023743,30.686483,40.860157;842393.627102,38112554.399401,29.877997,42.665498
2025-05-15 15:42:21.401616;2025-05-15 15:42:22.472261;340746.777534,24459836.425357,32.555849,36.056848;831225.460068,35191771.507789,29.795565,40.858476;412098.531226,24502749.376002,33.008878,36.513189;935038.573827,33586547.024698,30.686488,40.8603;842394.025837,38112610.503198,29.878,42.66553
2025-05-15 15:42:22.473260;2025-05-15 15:42:23.527038;340746.859555,24459853.575922,32.555853,36.056865;831225.938336,35191848.198756,29.795595,40.858545;412098.967958,24502855.636305,33.008901,36.513286;935039.205524,33586673.716266,30.686526,40.860407;842394.205335,38112639.903132,29.878007,42.665553
2025-05-15 15:42:23.528036;2025-05-15 15:42:24.575909;340748.71049,24459894.383019,32.555851,36.056895;831229.159182,35192059.030589,29.795616,40.858682;412103.007389,24503138.983307,33.00889,36.513483;935043.98727,33587014.341433,30.68655,40.860628;842395.280115,38112710.445339,29.878013,42.665597
2025-05-15 15:42:24.576904;2025-05-15 15:42:25.643105;340749.621527,24459913.070061,32.555859,36.056918;831232.24384,35192150.962015,29.795664,40.858785;412107.343792,24503254.499811,33.008932,36.513622;935048.25388,33587154.89998,30.686619,40.860789;842396.382186,38112737.582916,29.878027,42.665629
2025-05-15 15:42:25.645067;2025-05-15 15:42:26.705496;340750.258599,24459992.410836,32.555844,36.05696;831237.235349,35192489.201641,29.795649,40.858951;412114.483608,24503692.985269,33.00886,36.51386;935057.441506,33587708.692384,30.68658,40.86106;842397.575299,38112845.704114,29.878022,42.66568
2025-05-15 15:42:26.705496;2025-05-15 15:42:27.764219;340750.885834,24460019.764505,32.555841,36.056979;831237.58208,35192575.615283,29.795663,40.859016;412114.913566,24503800.908061,33.008865,36.513954;935057.797195,33587844.68817,30.686598,40.861165;842398.069835,38112888.517661,29.878023,42.665706
2025-05-15 15:42:27.765250;2025-05-15 15:42:28.813361;340751.189212,24460057.322049,32.555852,36.057016;831238.007684,35192721.758161,29.795746,40.859175;412115.799459,24503993.797229,33.008938,36.514171;935059.312465,33588078.379679,30.686713,40.861415;842398.352733,38112937.828682,29.878045,42.665753
2025-05-15 15:42:28.813361;2025-05-15 15:42:29.876918;340752.035994,24460086.814613,32.555856,36.057038;831239.493221,35192847.286322,29.795775,40.85926;412117.989216,24504157.046665,33.008955,36.514289;935061.514192,33588279.990767,30.68675,40.861549;842400.185688,38112979.310562,29.878053,42.66578
2025-05-15 15:42:29.880908;2025-05-15 15:42:30.932783;340752.231854,24460102.356009,32.555866,36.05706;831239.846072,35192924.82902,29.795827,40.859357;412118.621934,24504267.691619,33.009004,36.514426;935062.227779,33588420.253143,30.686822,40.861708;842400.528221,38113012.809636,29.878068,42.665815
2025-05-15 15:42:30.933781;2025-05-15 15:42:31.993573;340753.357971,24460128.917776,32.555861,36.057075;831240.523253,35192985.385146,29.79583,40.859393;412119.204658,24504341.951513,33.008999,36.514475;935062.729563,33588513.280149,30.686824,40.861765;842401.241127,38113037.793443,29.878069,42.665829
2025-05-15 15:42:31.994570;2025-05-15 15:42:33.060820;340753.490366,24460153.136979,32.555863,36.057096;831240.807135,35193109.311049,29.795851,40.859484;412119.635652,24504509.27972,33.009003,36.514605;935063.189943,33588714.514376,30.686849,40.861911;842401.403187,38113075.666056,29.878074,42.665855
2025-05-15 15:42:33.061817;2025-05-15 15:42:34.121560;340757.374527,24460202.912427,32.555859,36.057134;831246.837058,35193292.715417,29.795871,40.859617;412126.321551,24504735.660669,33.008999,36.514786;935070.047137,33588985.035333,30.686878,40.862114;842403.809524,38113146.857361,29.878078,42.665902
2025-05-15 15:42:34.121560;2025-05-15 15:42:35.190243;340757.69134,24460229.413338,32.555866,36.057165;831247.747328,35193455.637452,29.795904,40.85975;412127.475799,24504956.026509,33.009007,36.514971;935071.659543,33589259.336533,30.686914,40.862325;842404.086891,38113200.172048,29.878087,42.665942
2025-05-15 15:42:35.191218;2025-05-15 15:42:36.247655;340758.130656,24460250.718208,32.555863,36.057178;831248.744794,35193529.198421,29.795907,40.859795;412128.552199,24505051.23213,33.008999,36.515035;935072.527692,33589381.896299,30.686916,40.862399;842404.789812,38113229.203054,29.878087,42.665958
