Estimulo;C1;C2;C3;C4;C5
3;704226.612166,36528254.516681,28.941359,40.830247,704228.522556,36528298.749957,28.94137,40.830285;1058645.148131,38406870.954644,28.613046,41.728829,1058645.247515,38406901.546211,28.613055,41.728853;1161140.246934,37181748.363862,28.761682,41.296584,1161140.262674,37181757.360473,28.761685,41.296591;819650.431343,32710783.623325,30.236936,39.790197,819650.664417,32710794.257058,30.236939,39.790205;1122691.109091,38408372.579992,28.196888,41.33424,1122691.146184,38408395.265573,28.196896,41.334257
4;704233.168478,36528322.476582,28.941376,40.830304,704234.242622,36528337.849633,28.941385,40.830322;1058647.011916,38406949.424017,28.613064,41.728885,1058648.66986,38406973.031226,28.61308,41.728916;1161140.488819,37181765.797061,28.761689,41.296598,1161141.615277,37181773.085521,28.761695,41.296608;819650.898655,32710804.529712,30.236942,39.790214,819652.169422,32710812.404299,30.236946,39.790224;1122692.188587,38408425.892171,28.196903,41.334279,1122693.538555,38408443.109366,28.196914,41.3343
4;704234.417707,36528342.442631,28.941387,40.830326,704234.660219,36528361.472795,28.941393,40.83034;1058649.029113,38406980.966509,28.613083,41.728922,1058649.691905,38407011.947871,28.613093,41.728946;1161141.757407,37181775.460304,28.761696,41.29661,1161142.08824,37181786.164761,28.761699,41.296619;819652.392125,32710815.488179,30.236947,39.790227,819652.791474,32710825.562375,30.23695,39.790235;1122694.212179,38408451.309042,28.196916,41.334305,1122694.669358,38408473.950301,28.196923,41.334323
1;704234.76138,36528381.989408,28.941397,40.830353,704252.845603,36528733.039179,28.941356,40.830519;1058650.131958,38407040.33266,28.613102,41.728967,1058683.52234,38407624.624822,28.613039,41.729236;1161142.181416,37181794.370663,28.761702,41.296625,1161148.851549,37181927.714971,28.76169,41.296688;819652.892662,32710833.929551,30.236952,39.790241,819659.153581,32710958.305,30.236935,39.790303;1122694.765727,38408493.096812,28.19693,41.334337,1122714.134512,38408857.207069,28.196894,41.334506
2;704267.189451,36529143.820459,28.941644,40.830963,704267.198231,36529160.253596,28.941651,40.830978;1058708.634109,38408449.11009,28.613387,41.729938,1058708.77559,38408476.909189,28.6134,41.729965;1161153.990408,37182101.799994,28.761783,41.296852,1161154.072129,37182110.808318,28.761787,41.29686;819664.103287,32711128.212518,30.237023,39.790469,819664.171667,32711136.793203,30.237027,39.790478;1122728.921875,38409381.38322,28.197141,41.334963,1122728.981067,38409399.140838,28.197151,41.334982
0;704274.214877,36529465.427709,28.941841,40.831319,704274.214877,36529465.427709,28.941841,40.831319;1058724.142624,38409038.397324,28.613647,41.730499,1058724.142624,38409038.397324,28.613647,41.730499;1161157.083318,37182232.086721,28.761858,41.296988,1161157.083318,37182232.086721,28.761858,41.296988;819666.955079,32711257.598551,30.237091,39.790607,819666.955079,32711257.598551,30.237091,39.790607;1122737.866106,38409748.760346,28.197333,41.335331,1122737.866106,38409748.760346,28.197333,41.335331
3;704279.052305,36529526.799682,28.941836,40.831354,704282.700995,36529635.451099,28.941879,40.831449;1058732.235298,38409177.08747,28.613635,41.73057,1058735.436908,38409313.859065,28.613693,41.730691;1161159.11933,37182260.85844,28.761857,41.297004,1161160.336859,37182295.87201,28.761872,41.297036;819668.65125,32711282.14038,30.237089,39.790623,819669.781282,32711319.174804,30.237102,39.790656;1122742.109798,38409828.459073,28.197328,41.335373,1122744.965845,38409914.430632,28.19737,41.335453
4;704282.88599,36529670.562817,28.941889,40.831475,704283.913907,36529697.042604,28.941897,40.831496;1058735.798244,38409338.500089,28.613707,41.730717,1058737.53661,38409386.482776,28.613722,41.730753;1161160.487048,37182302.258652,28.761877,41.297044,1161161.253568,37182315.548568,28.761881,41.297054;819670.000573,32711324.196278,30.237107,39.790663,819670.760471,32711335.293176,30.237111,39.790672;1122745.281053,38409927.664577,28.19738,41.335469,1122746.665694,38409956.234829,28.197391,41.335492
4;704284.073513,36529715.787897,28.941905,40.831512,704284.177475,36529728.101382,28.941912,40.831525;1058737.992196,38409420.076671,28.613735,41.730781,1058738.1695,38409451.04797,28.613746,41.730806;1161161.342691,37182325.030241,28.761886,41.297063,1161161.466826,37182333.330644,28.76189,41.29707;819670.845918,32711345.340386,30.237115,39.790681,819670.981837,32711353.827412,30.237118,39.790689;1122747.110321,38409978.532574,28.197402,41.335511,1122747.29621,38410001.555429,28.197409,41.335529
3;704285.222633,36529734.066716,28.941912,40.831528,704287.230552,36529784.214635,28.94191,40.831555;1058738.906669,38409460.417353,28.613746,41.730811,1058739.099715,38409483.275694,28.613755,41.730831;1161162.0398,37182338.149199,28.76189,41.297073,1161162.279639,37182346.113367,28.761892,41.297079;819671.52886,32711358.118817,30.237117,39.790691,819671.801244,32711366.209959,30.237119,39.790698;1122748.446738,38410009.693315,28.197409,41.335534,1122748.758551,38410025.633681,28.197415,41.335548
