Start_time;End_time;C1;C2;C3;C4;C5
2025-05-15 15:44:54.062507;2025-05-15 15:44:55.118824;340833.258843,24463387.872801,32.556192,36.059827;831456.711566,35206594.801143,29.79931,40.870471;412389.906541,24522001.067043,33.01102,36.529848;935454.768518,33615230.988224,30.692441,40.883343;842502.798233,38118177.602445,29.879021,42.669607
2025-05-15 15:44:55.119480;2025-05-15 15:44:56.163695;340833.78631,24463416.608271,32.556193,36.059847;831457.37964,35206698.758046,29.799329,40.870541;412390.809914,24522128.606654,33.011029,36.529942;935456.694169,33615431.572155,30.692473,40.883481;842503.316531,38118210.865819,29.879027,42.669629
2025-05-15 15:44:56.164329;2025-05-15 15:44:57.217771;340834.111864,24463435.391164,32.556196,36.059864;831458.774336,35206793.242857,29.799354,40.870618;412392.100162,24522252.15461,33.011046,36.530049;935458.56672,33615643.53769,30.692516,40.883646;842504.729918,38118248.039291,29.879033,42.669656
2025-05-15 15:44:57.217771;2025-05-15 15:44:58.289805;340834.547646,24463465.422394,32.556201,36.059891;831461.477009,35206934.383003,29.799396,40.870743;412394.858838,24522436.443293,33.011072,36.530222;935463.621467,33615940.562281,30.69259,40.883909;842506.501739,38118296.789246,29.879047,42.669698
2025-05-15 15:44:58.290802;2025-05-15 15:44:59.345355;340834.786313,24463471.564229,32.556203,36.059898;831462.088146,35206973.064045,29.799404,40.870773;412395.578688,24522488.480401,33.011075,36.530264;935464.812019,33616027.820433,30.692603,40.883973;842506.679142,38118311.873202,29.879049,42.669708
2025-05-15 15:44:59.346352;2025-05-15 15:45:00.399366;340836.545548,24463514.198363,32.556211,36.059935;831468.291074,35207189.231414,29.799455,40.870934;412402.798509,24522766.891154,33.011104,36.530485;935474.682678,33616488.866613,30.692688,40.884309;842509.011022,38118380.756484,29.879068,42.669761
2025-05-15 15:45:00.400330;2025-05-15 15:45:01.460037;340837.105015,24463531.091028,32.556213,36.05995;831469.917324,35207274.921149,29.799472,40.870999;412404.964163,24522881.319618,33.011109,36.530576;935477.455713,33616684.509702,30.692714,40.88445;842509.793985,38118416.280778,29.879073,42.669785
2025-05-15 15:45:01.461038;2025-05-15 15:45:02.518360;340837.968023,24463550.273116,32.556217,36.059968;831471.498259,35207376.847408,29.799497,40.871078;412406.698713,24523006.185747,33.011125,36.530683;935479.630461,33616896.948575,30.692754,40.884613;842510.941313,38118451.717076,29.879081,42.669811
2025-05-15 15:45:02.519357;2025-05-15 15:45:03.581615;340838.275844,24463589.223103,32.556218,36.059994;831471.563026,35207495.50571,29.79952,40.871162;412406.783358,24523154.795229,33.011138,36.530801;935479.815932,33617142.674071,30.692792,40.884787;842511.036735,38118488.921525,29.879087,42.669837
2025-05-15 15:45:03.581615;2025-05-15 15:45:04.644077;340838.458554,24463600.89108,32.556218,36.060003;831472.006246,35207548.894456,29.799524,40.871197;412407.347071,24523219.676837,33.011136,36.530848;935480.691495,33617245.601087,30.692799,40.884857;842511.269632,38118507.020947,29.879088,42.669848
2025-05-15 15:45:04.645076;2025-05-15 15:45:05.684656;340839.263196,24463634.133107,32.556229,36.060037;831473.571423,35207755.049498,29.799577,40.871355;412409.103413,24523497.287909,33.011166,36.53107;935483.064628,33617698.174041,30.692886,40.885192;842512.02719,38118579.887614,29.879103,42.669899
2025-05-15 15:45:05.685654;2025-05-15 15:45:06.756036;340839.599887,24463651.915336,32.55623,36.060052;831474.508039,35207823.467198,29.799593,40.871415;412410.176651,24523584.81331,33.011174,36.531153;935484.704045,33617835.421995,30.692915,40.885315;842512.348047,38118603.34673,29.879107,42.669918
