Start_time;End_time;C1;C2;C3;C4;C5
2025-04-01 11:06:39.528401;2025-04-01 11:06:40.588479;920184.787916,41122367.775414,27.900445,42.40542;2023780.710708,50361312.967768,27.769369,47.741519;3178306.364666,60788267.872086,27.782952,52.365663;3491707.792802,91457902.068672,28.761111,64.93977;1043327.00634,43692378.110911,28.370005,44.415839
2025-04-01 11:06:40.589476;2025-04-01 11:06:41.651433;920190.619523,41122714.101731,27.900729,42.405814;2023786.612105,50361711.182394,27.769646,47.741933;3178306.600931,60788288.148746,27.782965,52.365683;3491709.956054,91458089.752049,28.761197,64.939935;1043328.141473,43692518.203303,28.370138,44.416013
2025-04-01 11:06:41.651433;2025-04-01 11:06:42.702540;920193.048518,41122792.182574,27.900744,42.405868;2023791.719726,50361827.726136,27.769663,47.742006;3178307.273138,60788300.283188,27.782967,52.36569;3491713.520695,91458194.197759,28.761204,64.939981;1043329.863661,43692566.302074,28.370145,44.416043
2025-04-01 11:06:42.702540;2025-04-01 11:06:43.777248;920195.870629,41122805.285318,27.900744,42.405876;2023795.172283,50361848.135007,27.769665,47.742018;3178307.686073,60788304.991592,27.782967,52.365692;3491716.390426,91458214.013865,28.761205,64.939989;1043331.347612,43692579.680532,28.370145,44.416051
2025-04-01 11:06:43.778244;2025-04-01 11:06:44.835576;920196.17096,41122814.847442,27.900754,42.405889;2023795.613078,50361861.436005,27.769676,47.742034;3178307.725221,60788310.13764,27.782968,52.365695;3491716.661619,91458229.282289,28.761211,64.940002;1043331.511253,43692589.980453,28.370151,44.41606
2025-04-01 11:06:44.836573;2025-04-01 11:06:45.888755;920196.518579,41122825.11576,27.900755,42.405895;2023795.982699,50361875.441081,27.769678,47.742041;3178307.83477,60788315.424168,27.782968,52.365697;3491716.974066,91458242.84837,28.761212,64.940007;1043331.813472,43692600.198841,28.370152,44.416065
2025-04-01 11:06:45.889752;2025-04-01 11:06:46.952897;920196.868174,41122834.113904,27.900756,42.4059;2023796.775488,50361893.113745,27.76968,47.74205;3178307.931507,60788320.295144,27.782968,52.365699;3491717.366611,91458258.829914,28.761213,64.940014;1043331.981657,43692610.697146,28.370153,44.416071
2025-04-01 11:06:46.953895;2025-04-01 11:06:47.999920;920197.161024,41122846.618366,27.900758,42.405907;2023797.464361,50361907.572514,27.769682,47.742059;3178308.027005,60788323.823178,27.782968,52.365701;3491717.651558,91458271.009592,28.761214,64.940019;1043332.113373,43692618.163281,28.370154,44.416075
2025-04-01 11:06:48.000918;2025-04-01 11:06:49.081298;920200.600336,41122887.258174,27.900755,42.405927;2023801.34445,50361967.987136,27.76968,47.742085;3178308.501765,60788331.811161,27.782969,52.365704;3491720.805742,91458309.147357,28.761214,64.940033;1043333.763159,43692634.709207,28.370154,44.416084
2025-04-01 11:06:49.082298;2025-04-01 11:06:50.129145;920201.336664,41122893.887315,27.900755,42.405931;2023801.868369,50361980.38334,27.76968,47.742091;3178308.793279,60788335.646355,27.782969,52.365706;3491721.463167,91458318.501387,28.761215,64.940038;1043334.021956,43692640.114462,28.370156,44.416088
2025-04-01 11:06:50.130142;2025-04-01 11:06:51.200488;920201.449401,41122901.360759,27.900757,42.405936;2023802.171509,50361989.15306,27.769682,47.742097;3178308.834171,60788338.268672,27.782969,52.365708;3491721.526294,91458324.551695,28.761217,64.940043;1043334.052206,43692643.292042,28.370157,44.416092
2025-04-01 11:06:51.200488;2025-04-01 11:06:52.263089;920203.025023,41122961.625192,27.900817,42.406016;2023804.082079,50362081.561118,27.769749,47.742198;3178309.083234,60788351.260174,27.782974,52.365718;3491722.931482,91458403.782165,28.761251,64.940112;1043334.449185,43692679.094522,28.370188,44.416134
2025-04-01 11:06:52.263089;2025-04-01 11:06:53.314029;920203.312265,41122971.438075,27.90082,42.406023;2023804.714084,50362097.838627,27.769751,47.742208;3178309.161056,60788353.024298,27.782974,52.365719;3491723.013139,91458413.96631,28.761253,64.940117;1043334.527776,43692685.733401,28.37019,44.416139
2025-04-01 11:06:53.315027;2025-04-01 11:06:54.358319;920203.353892,41122975.900356,27.900821,42.406026;2023805.002399,50362120.362555,27.769751,47.742218;3178309.187104,60788356.97104,27.782974,52.36572;3491723.040827,91458420.616587,28.761254,64.94012;1043334.625724,43692691.324834,28.37019,44.416142
2025-04-01 11:06:54.359318;2025-04-01 11:06:55.432528;920203.418729,41122984.84277,27.900823,42.406031;2023807.083571,50362138.529184,27.769752,47.742229;3178309.194821,60788362.982788,27.782974,52.365723;3491723.089523,91458430.084393,28.761256,64.940125;1043334.670093,43692697.862308,28.370191,44.416146
2025-04-01 11:06:55.433525;2025-04-01 11:06:56.495754;920203.461674,41122990.845397,27.900824,42.406035;2023808.874734,50362169.667819,27.769752,47.742244;3178309.238034,60788366.213842,27.782974,52.365724;3491723.135355,91458438.596499,28.761257,64.94013;1043334.729554,43692703.04807,28.370192,44.416149
2025-04-01 11:06:56.496751;2025-04-01 11:06:57.548423;920203.475783,41122995.027277,27.900827,42.406039;2023809.696385,50362180.162887,27.769755,47.742251;3178309.290172,60788370.845373,27.782975,52.365726;3491723.209856,91458445.924504,28.761259,64.940134;1043334.747112,43692710.053122,28.370194,44.416153
2025-04-01 11:06:57.549425;2025-04-01 11:06:58.617137;920203.619839,41122998.919502,27.900828,42.406042;2023810.572933,50362184.664557,27.769756,47.742255;3178309.33821,60788372.695306,27.782975,52.365727;3491723.33825,91458448.347766,28.76126,64.940136;1043334.929549,43692711.741772,28.370195,44.416155
2025-04-01 11:06:58.617137;2025-04-01 11:06:59.665632;920203.947786,41123010.296855,27.900832,42.406052;2023811.461679,50362213.594854,27.769759,47.74227;3178309.549484,60788377.029635,27.782975,52.365729;3491723.764258,91458458.390123,28.761263,64.940144;1043335.198159,43692717.542363,28.370198,44.416161
2025-04-01 11:06:59.666630;2025-04-01 11:07:00.739432;920204.206478,41123016.450632,27.900834,42.406057;2023811.744152,50362222.369876,27.769763,47.742278;3178309.627211,60788379.568888,27.782976,52.365731;3491723.994757,91458465.300731,28.761264,64.940149;1043335.436945,43692722.188763,28.370199,44.416164
2025-04-01 11:07:00.740432;2025-04-01 11:07:01.789457;920204.328924,41123023.822172,27.900837,42.406064;2023811.857067,50362239.712487,27.769766,47.742288;3178309.667296,60788382.617091,27.782976,52.365732;3491724.149402,91458474.436282,28.761267,64.940155;1043335.580855,43692726.318322,28.370201,44.416168
2025-04-01 11:07:01.790454;2025-04-01 11:07:02.866306;920204.654104,41123031.800612,27.900839,42.406069;2023811.874713,50362258.148316,27.769768,47.742298;3178309.78012,60788385.048465,27.782976,52.365733;3491724.278663,91458486.496572,28.761268,64.94016;1043335.771762,43692734.926434,28.370202,44.416173
2025-04-01 11:07:02.867303;2025-04-01 11:07:03.908197;920204.76463,41123041.504318,27.90084,42.406074;2023812.002542,50362273.772091,27.769769,47.742304;3178309.927381,60788390.109248,27.782976,52.365735;3491724.382598,91458494.812904,28.761269,64.940163;1043335.931821,43692740.056717,28.370203,44.416175
2025-04-01 11:07:03.909193;2025-04-01 11:07:04.976402;920206.928743,41123055.654577,27.900842,42.406084;2023814.392106,50362291.442672,27.769772,47.742316;3178311.868324,60788397.314903,27.782976,52.365739;3491726.102554,91458511.929914,28.76127,64.940171;1043337.2956,43692755.531262,28.370203,44.416183
2025-04-01 11:07:04.977404;2025-04-01 11:07:06.035298;920207.313551,41123069.054877,27.900844,42.406092;2023815.251737,50362307.606282,27.769775,47.742326;3178312.087519,60788402.207884,27.782976,52.365741;3491726.4619,91458529.062135,28.761272,64.940179;1043337.567594,43692763.960257,28.370205,44.416189
2025-04-01 11:07:06.035298;2025-04-01 11:07:07.088861;920211.165603,41123162.709175,27.900879,42.406172;2023820.771598,50362440.651508,27.769813,47.742427;3178312.296242,60788412.210109,27.78298,52.365749;3491731.093008,91458630.430732,28.761292,64.940243;1043339.544149,43692811.882522,28.370223,44.416229
2025-04-01 11:07:07.088861;2025-04-01 11:07:08.156335;920217.660797,41123189.089062,27.900873,42.406186;2023827.273651,50362489.428208,27.769806,47.742447;3178312.728804,60788416.348153,27.78298,52.365751;3491737.384722,91458657.921546,28.761289,64.940253;1043342.381362,43692825.338424,28.370221,44.416237
2025-04-01 11:07:08.157332;2025-04-01 11:07:09.207903;920217.933251,41123204.479261,27.900886,42.406205;2023827.455459,50362508.31746,27.76982,47.742468;3178312.883412,60788421.516285,27.782981,52.365754;3491737.685495,91458675.716198,28.761297,64.940268;1043342.660147,43692838.340597,28.370228,44.416248
2025-04-01 11:07:09.208901;2025-04-01 11:07:10.273999;920218.043884,41123212.712142,27.900888,42.406211;2023827.721951,50362523.561912,27.769823,47.742478;3178312.955771,60788425.41388,27.782982,52.365756;3491737.741501,91458686.186608,28.761298,64.940274;1043342.691792,43692844.600788,28.37023,44.416253
2025-04-01 11:07:10.274996;2025-04-01 11:07:11.326392;920218.828643,41123225.099069,27.900891,42.406219;2023829.276518,50362547.207033,27.769826,47.74249;3178313.597269,60788434.647547,27.782982,52.36576;3491738.570084,91458702.187146,28.7613,64.940281;1043343.419871,43692855.966599,28.370231,44.416259
2025-04-01 11:07:11.327389;2025-04-01 11:07:12.423699;920218.993707,41123232.783225,27.900893,42.406226;2023829.502259,50362559.141519,27.769829,47.742499;3178313.718262,60788438.708765,27.782983,52.365763;3491738.733976,91458710.900204,28.761302,64.940286;1043343.542744,43692860.552377,28.370233,44.416264
2025-04-01 11:07:12.425720;2025-04-01 11:07:13.450201;920219.776683,41123239.636501,27.900893,42.40623;2023830.292616,50362568.709894,27.76983,47.742503;3178314.120481,60788444.215419,27.782983,52.365765;3491739.046975,91458719.113169,28.761302,64.940289;1043343.940551,43692868.669455,28.370233,44.416268
